"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","humoral immune response","GO:0006959","true","3.574572536252974e-15","14.446775885680035","254","66","17","21031","TF,IGHG1,HLA-A,HPX,IGHG2,JCHAIN,C3,S100A9,IGHM,A2M,TRY8,LTF,LYZ,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","antimicrobial humoral response","GO:0019730","false","6.3676664485435666e-15","14.196019693912177","131","66","14","21031","TF,IGHG1,HLA-A,IGHG2,JCHAIN,S100A9,IGHM,TRY8,LTF,LYZ,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","true","1.0211439712474889e-13","12.990913022349563","1724","66","31","21031","NPC2,VIM,CFL1,ANXA1,CALR,TF,IGHG1,HLA-A,PPIA,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"GO:BP","response to other organism","GO:0051707","false","5.532210836598567e-13","12.25710127696719","1548","66","29","21031","NPC2,VIM,CFL1,ANXA1,CALR,TF,IGHG1,HLA-A,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to external biotic stimulus","GO:0043207","false","5.822730443221752e-13","12.234873314602787","1551","66","29","21031","NPC2,VIM,CFL1,ANXA1,CALR,TF,IGHG1,HLA-A,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to biotic stimulus","GO:0009607","false","1.0493757641541206e-12","11.979068970265061","1586","66","29","21031","NPC2,VIM,CFL1,ANXA1,CALR,TF,IGHG1,HLA-A,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to external stimulus","GO:0009605","false","1.5257038711049332e-12","11.816529751849778","2723","66","36","21031","ANXA2,NPC2,VIM,CFL1,FBP1,S100A4,ANXA1,CALR,TF,IGHG1,CAT,HLA-A,PPIA,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,SERPINC1,LCN2,APOA1,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","antibacterial humoral response","GO:0019731","false","1.908050047567623e-11","10.719410238071445","68","66","10","21031","TF,IGHG1,HLA-A,IGHG2,JCHAIN,IGHM,LTF,BPIFA1,DEFA1,ELANE"
"GO:BP","response to bacterium","GO:0009617","false","5.822081906701044e-11","10.23492168907617","720","66","20","21031","VIM,TF,IGHG1,HLA-A,TH,IGHG2,S100A8,JCHAIN,C3,S100A9,IGHM,LCN2,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE"
"GO:BP","defense response to bacterium","GO:0042742","false","1.0897180144838125e-10","9.962685869579879","325","66","15","21031","TF,IGHG1,HLA-A,IGHG2,S100A8,JCHAIN,S100A9,IGHM,LCN2,LTF,LYZ,MPO,BPIFA1,DEFA1,ELANE"
